courseKey,course,courseCategory,Descripcion,platformRating,platform,platform_keyWords,link,userRating,userEnrolled,interestCategory,suscribersCategory
A001,Sketching diario como inspiración creativa,Arte,Experimenta con tu imaginación y mejora tu técnica de dibujo a través de un boceto diario con la instructora Sorie Kim.,4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/2227-sketching-diario-como-inspiracion-creativa,4.5,10011,231957,77319
A002,Dibujo para principiantes nivel -1,Arte,"Aprende a dibujar desde cero con el ilustrador Puño. Claves para ser un dibujante versátil y creativo, sin importar tu nivel o edad.",4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/138-dibujo-para-principiantes-nivel-1,4.8,12345,231957,77319
A003,Introducción a la producción musical,Arte,"Aprende a componer tus propias canciones con Nicolás Astegiano, experto en producción y grabación musical. Estilo visceral y detallista desde cero.",4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/2419-introduccion-a-la-produccion-musical,4.1,14562,231957,77319
A004,Introducción a Ableton Live,Arte,"Crea música en cualquier lugar y nivel con Ableton Live, el software de producción y grabación líder en la industria. Sin necesidad de un estudio de grabación.",4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/818-introduccion-a-ableton-live,3.7,12367,231957,77319
A005,Introducción a la escritura narrativa,Arte,Supera el desafío de la hoja en blanco y perfecciona tu escritura con la guía del reconocido escritor Alberto Chimal. Aprende a crear narraciones memorables en diferentes géneros.,4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/1020-introduccion-a-la-escritura-narrativa,4.9,15682,231957,77319
A006,Escritura creativa para principiantes: da vida a tu historia,Arte,Desarrolla tu narrativa personal y conviértete en un escritor prolífico con Shaun Levin. Aprende a explorar tu imaginación y crear historias impactantes en cualquier situación.,4.6,Domestika,"Ilustración, Craft, Marketing, Negocios, Fotografía, Video, Diseño, Animación, Escritura, Moda, Diseño Web, Caligrafía, Tipografía, Musica, Audio",https://www.domestika.org/es/courses/1779-escritura-creativa-para-principiantes-da-vida-a-tu-historia,3.9,12352,231957,77319
N001,Bases Matemáticas: Algebra,Numerico,"En este curso se tratan los sistemas de ecuaciones, las matrices y cómo usarlas para resolverlos.",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/bases-matematicas-algebra?index=product&queryID=6c0685d40023f540a41b7074aa479966&position=1&results_level=second-level-results&search_index=product&term=matematica&campaign=Bases+Matem%C3%A1ticas%3A+%C3%81lgebra&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3.8,16783,292406,146203
N002,Introducción a Matemáticas para Finanzas y Negocios,Numerico,El objetivo del curso es entender como ciertos conceptos matemáticos se utilizan de forma recurrente para analizar problemas financieros y de negocios.,4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/introduccion-a-matematicas-para-finanzas-y-negocios?index=product&queryID=da1af08d1cfcad8d5188675be0d248e6&position=3&results_level=second-level-results&search_index=product&term=matematica&campaign=Introducci%C3%B3n+a+Matem%C3%A1ticas+para+Finanzas+y+Negocios&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.1,23452,292406,146203
N003,Bases Matemáticas: Derivadas,Numerico,"Curso básico sobre funciones y sus derivadas, incluyendo sus aplicaciones a la resolución de problemas.",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/bases-matematicas-derivadas?index=product&queryID=b1ca13244234445086bcb9907b9cea83&position=5&results_level=second-level-results&search_index=product&term=matematica&campaign=Bases+Matem%C3%A1ticas%3A+Derivadas&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.2,23452,292406,146203
N004,Estadística Aplicada a los Negocios,Numerico,"Usa estadística descriptiva e inferencial en los negocios. Aprende a tomar decisiones con ayuda de estimadores, análisis regresional y más.",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/estadistica-aplicada-a-los-negocios?index=product&queryID=b38b7ff8118a56d9f4426393c79c8ff9&position=2&results_level=second-level-results&search_index=product&term=estadistica&campaign=Estad%C3%ADstica+Aplicada+a+los+Negocios&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.5,56741,292406,146203
N005,Introducción a la Ecuaciones Diferenciales,Numerico,Aprende el lenguaje de las ecuaciones diferenciales ordinarias y su aplicación en la modelación de muchos de los fenómenos que nos rodean,4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/introduccion-a-las-ecuaciones-diferenciales?index=product&queryID=12cd821c4ba9bdbd752dd381e7614a62&position=1&results_level=second-level-results&search_index=product&term=ecuaciones&campaign=Introducci%C3%B3n+a+las+ecuaciones+diferenciales&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3.5,13432,292406,146203
N006,Bases Matemáticas: Números y terminologías,Numerico,"Se repasan los conceptos básicos de conjuntos, la terminología básica y las propiedades fundamentales de los números (reales y complejos).",4.4,edX,"Arquitectura, Diseño, Nutrición, Medicina, Cultura, Economía, Finanzas, Musica, Historia, Idioma, Ciencia, Ciencias Sociales, Ingeniería, Física, Educación, Etica, Matemática",https://www.edx.org/course/bases-matematicas-numeros-y-terminologia?index=product&queryID=e93284da05eb5833269af93e35578c73&position=3&results_level=second-level-results&search_index=product&term=matematic&campaign=Bases+Matem%C3%A1ticas%3A+N%C3%BAmeros+y+terminolog%C3%ADa&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4.4,12343,292406,146203
